id,date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,circumplex.arousal,circumplex.valence,mood_lag1,activity_lag1,screen_lag1,mood_mean_3d_hist,activity_mean_3d_hist,screen_mean_3d_hist,call_mean_3d_hist,sms_mean_3d_hist,appCat.builtin_mean_3d_hist,appCat.communication_mean_3d_hist,appCat.entertainment_mean_3d_hist,appCat.finance_mean_3d_hist,appCat.game_mean_3d_hist,appCat.office_mean_3d_hist,appCat.other_mean_3d_hist,appCat.social_mean_3d_hist,appCat.travel_mean_3d_hist,appCat.unknown_mean_3d_hist,appCat.utilities_mean_3d_hist,appCat.weather_mean_3d_hist,circumplex.arousal_mean_3d_hist,circumplex.valence_mean_3d_hist,mood_std_3d_hist,activity_std_3d_hist,screen_std_3d_hist,mood_change_today_vs_yesterday,activity_change_today_vs_yesterday,screen_change_today_vs_yesterday,day_of_week,is_weekend,mood_next_day
AS14.01,2014-03-23,6.8,0.1427411158050636,6773.832001447675,0.0,0.0,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386,0.2,0.8,6.4,0.2368802192399581,6142.160999536513,6.4,0.2368802192399581,6142.160999536513,3.0,1.0,1290.2156666666667,4962.918,93.324,23.540000000000003,0.0,57.40200000000001,98.143,439.632,317.5833333333333,0.0,117.621,0.0,0.1833333333333333,0.45,0.0,0.0,0.0,0.39999999999999947,-0.09413910343489451,631.6710019111615,6,1,6.0
AS14.01,2014-03-24,6.0,0.0789610561155979,15047.351000547404,10.0,0.0,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.626,419.805,0.0,178.732,0.0,0.8,0.0,6.8,0.1427411158050636,6773.832001447675,6.6,0.18981066752251086,6457.996500492094,1.5,0.5,1718.9643333333331,5100.1185000000005,93.83500000000001,38.007666666666665,0.0,57.40200000000001,85.483,670.2355,317.5833333333333,0.0,73.8535,10.128666666666666,0.3333333333333333,0.4666666666666667,0.28284271247461895,0.06656639841363572,446.6588489302829,-0.7999999999999998,-0.0637800596894657,8273.518999099728,0,0,6.75
AS14.01,2014-03-25,6.75,0.0983741123905067,15381.207998991007,0.0,1.0,1032.768,10276.751,68.206,43.054,0.0,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,0.0,0.5,0.5,6.0,0.0789610561155979,15047.351000547404,6.3999999999999995,0.15286079705353986,9321.114667177198,4.333333333333333,0.3333333333333333,961.5436666666668,6490.288666666667,388.2136666666667,32.86166666666667,0.0,1.0033333333333332,79.17466666666667,1521.3656666666666,152.37,0.0,108.81299999999999,10.128666666666666,0.5333333333333333,0.4000000000000001,0.3999999999999997,0.07944445532510525,4969.1134996969695,0.75,0.019413056274908802,333.8569984436035,1,0,6.6
AS14.01,2014-03-26,6.6,0.1013083216700759,13585.707000494,0.0,0.0,1167.497,8988.753,910.479,52.331,0.0,0.0,97.498,4592.059,0.0,0.0,33.365,0.0,-0.2,0.6,6.75,0.0983741123905067,15381.207998991007,6.516666666666667,0.10669209477038939,12400.797000328696,3.3333333333333335,0.3333333333333333,1061.99,8261.566333333334,379.84099999999995,40.18766666666667,0.0,1.0033333333333332,106.06666666666668,2014.6453333333336,139.935,78.40766666666667,143.90366666666668,10.128666666666666,0.5,0.4333333333333333,0.4481443219916252,0.03269351046694097,4875.952875882468,-0.15000000000000036,0.002934209279569208,-1795.5009984970075,2,0,7.0
AS14.01,2014-03-27,7.0,0.1595106409690974,9360.814999341965,2.0,1.0,1229.327,6936.512,639.3389999999999,42.219,0.0,182.451,58.532,935.381,47.314,0.0,179.029,0.0,0.2,0.8,6.6,0.1013083216700759,13585.707000494,6.449999999999999,0.09288116339206016,14671.422000010803,3.3333333333333335,0.3333333333333333,1022.4070000000002,9512.044333333333,651.8853333333333,43.16366666666667,0.0,1.0033333333333332,114.29166666666667,3245.0519999999997,139.935,78.40766666666667,144.99666666666667,0.0,0.3666666666666667,0.3666666666666667,0.39686269665968854,0.012144111164067873,954.9596425945381,0.40000000000000036,0.05820231929902149,-4224.892001152035,3,0,6.4
AS14.01,2014-03-28,6.4,0.0956980216371201,4923.48899960518,5.0,0.0,899.91,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,-0.6,0.6,7.0,0.1595106409690974,9360.814999341965,6.783333333333332,0.11973102500989334,12775.909999608992,0.6666666666666666,0.6666666666666666,1143.1973333333333,8734.005333333334,539.3413333333334,45.868,0.0,60.817,111.61633333333334,2482.3036666666667,15.771333333333333,78.40766666666667,145.0956666666667,0.0,0.1666666666666666,0.6333333333333333,0.20207259421637333,0.034481383099005704,3090.810792419615,-0.5999999999999996,-0.0638126193319773,-4437.325999736785,4,0,8.0
AS14.01,2014-03-29,8.0,0.0682028101018696,8322.6219997406,4.0,1.0,1952.63,2720.692,1627.429,0.0,0.0,0.0,169.594,472.888,52.435,0.0,600.637,0.0,0.2,1.0,6.4,0.0956980216371201,4923.48899960518,6.666666666666667,0.11883899475876447,9290.003666480381,2.3333333333333335,0.3333333333333333,1098.9113333333332,5597.366000000001,851.7403333333335,61.23866666666667,77.67866666666667,60.817,127.327,2013.3936666666668,393.441,0.0,171.37033333333332,0.0,-0.1999999999999999,0.6666666666666666,0.30550504633039105,0.03533420397729103,4331.543126574729,1.5999999999999996,-0.027495211535250502,3399.133000135421,5,1,7.5
AS14.01,2014-03-30,7.5,0.049092970521542,4523.214000940327,0.0,0.0,414.365,1298.505,1535.677,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,-0.5,0.75,8.0,0.0682028101018696,8322.6219997406,7.133333333333334,0.10780382423602904,7535.641999562581,3.6666666666666665,0.6666666666666666,1360.6223333333337,3508.012333333334,1090.7236666666668,43.794999999999995,77.67866666666667,60.817,151.359,640.3366666666667,410.9193333333333,0.0,360.46099999999996,0.0,-0.0666666666666666,0.7999999999999999,0.808290376865478,0.04684221212584199,2320.9844134537243,-0.5,-0.019109839580327602,-3799.407998800273,6,1,7.4
AS14.01,2014-03-31,7.4,0.0705054808833895,8373.416000366211,6.0,0.0,2961.405,5332.637,1758.92,41.255,51.176,0.0,268.554,1350.655,183.381,29.29,210.305,0.0,0.0,0.6,7.5,0.049092970521542,4523.214000940327,7.300000000000001,0.07099793408684389,5923.108333428702,3.0,0.3333333333333333,1088.9683333333332,1628.6766666666674,1389.503,29.722,77.67866666666667,0.0,156.516,384.43799999999993,395.148,22.159,313.55,0.0,-0.3,0.7833333333333333,0.8185352771872474,0.023427915740414113,2087.6552384798038,-0.09999999999999964,0.0214125103618475,3850.2019994258835,0,0,6.0
AS14.01,2014-04-01,6.0,0.118443242712736,17173.906002044678,1.0,0.0,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0.0,517.636,0.0,0.2,0.0,7.4,0.0705054808833895,8373.416000366211,7.633333333333333,0.06260042050226704,7073.084000349046,3.3333333333333335,0.3333333333333333,1776.1333333333334,3117.2780000000002,1640.6753333333334,13.751666666666669,17.058666666666667,0.0,170.71699999999998,663.7426666666667,78.60533333333333,31.92233333333333,283.0793333333333,0.0,-0.0999999999999999,0.7833333333333333,0.32145502536644166,0.011754317373559192,2208.398235834814,-1.4000000000000004,0.047937761829346504,8800.490001678467,1,0,6.5
